cause_id,acause,cause_name,cause_medium,cause_short,cause_description,cause_id_2010_gbd_round,start_date,end_date,date_inserted,inserted_by,last_updated,last_updated_by,last_updated_action
300,hiv_other,"HIV/AIDS resulting in other diseases","HIV/AIDS other","Oth HIV",NULL,7,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2017-11-02 12:12:03",elissat,UPDATE
301,_childinf,"Diarrhea, lower respiratory, and other common infectious diseases",Diarrhea/LRI/other,Diar+LRI+Oth,NULL,8,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
302,diarrhea,"Diarrheal diseases","Diarrheal diseases",Diarrhea,NULL,9,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
303,diarrhea_cholera,Cholera,Cholera,Cholera,NULL,10,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
304,diarrhea_salmonella,"Other salmonella infections",Salmonella,Salmonella,NULL,11,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
305,diarrhea_shigellosis,Shigellosis,Shigellosis,Shigellosis,NULL,12,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
306,diarrhea_epec,"Enteropathogenic E coli infection","Enteropathogenic E coli",EPEC,NULL,13,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
307,diarrhea_etec,"Enterotoxigenic E coli infection","Enterotoxigenic E coli",ETEC,NULL,14,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
308,diarrhea_campylobac,"Campylobacter enteritis","Campylobacter enteritis",Campylo,NULL,15,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
309,diarrhea_amoebiasis,Amoebiasis,Amoebiasis,Amoebiasis,NULL,16,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
310,diarrhea_cryptospor,Cryptosporidiosis,Cryptosporidiosis,Crypto,NULL,17,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
311,diarrhea_rotavirus,"Rotaviral enteritis","Rotaviral enteritis",Rotavirus,NULL,18,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
312,diarrhea_aeromonas,Aeromonas,Aeromonas,Aeromonas,NULL,NULL,"2013-01-01 00:00:00",NULL,"2013-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
313,diarrhea_clostridium,"Clostridium difficile","Clostridium difficile",Clostridium,NULL,NULL,"2013-01-01 00:00:00",NULL,"2013-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
314,diarrhea_norovirus,Norovirus,Norovirus,Norovirus,NULL,NULL,"2013-01-01 00:00:00",NULL,"2013-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
315,diarrhea_adenovirus,Adenovirus,Adenovirus,Adenovirus,NULL,NULL,"2013-01-01 00:00:00",NULL,"2013-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
316,diarrhea_foodborne,"Other bacterial foodborne diarrhea","Other bacterial foodborne","FB Bact",NULL,NULL,"2013-01-01 00:00:00",NULL,"2013-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
317,diarrhea_other,"Other diarrheal diseases","Other diarrheal diseases","Oth Diar",NULL,19,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
318,intest,"Intestinal infectious diseases","Intestinal infectious","Intest Inf",NULL,NULL,"2013-01-01 00:00:00",NULL,"2013-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
319,intest_typhoid,"Typhoid fever","Typhoid fever",Typhoid,NULL,NULL,"2013-01-01 00:00:00",NULL,"2013-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
320,intest_paratyph,"Paratyphoid fever","Paratyphoid fever",Paratyph,NULL,NULL,"2013-01-01 00:00:00",NULL,"2013-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
321,intest_other,"Other intestinal infectious diseases","Other intestinal infect","Oth Intest",NULL,NULL,"2013-01-01 00:00:00",NULL,"2013-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
322,lri,"Lower respiratory infections","Lower respiratory infect",LRI,NULL,21,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
323,lri_flu,Influenza,Influenza,LRI-Flu,NULL,22,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
324,lri_pneumo,"Pneumococcal pneumonia","Pneumococcal pneumonia",LRI-Pne,NULL,23,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
325,lri_hib,"H influenzae type B pneumonia","HiB pneumonia",LRI-HiB,NULL,24,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
326,lri_rsv,"Respiratory syncytial virus pneumonia","RSV pneumonia",LRI-RSV,NULL,25,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
327,lri_other,"Other lower respiratory infections","Other lower respiratory",LRI-Oth,NULL,26,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
328,uri,"Upper respiratory infections","Upper respiratory infect",URI,NULL,27,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
329,otitis,"Otitis media","Otitis media",Otitis,NULL,28,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
330,strep,"Streptococcal diseases","Strep diseases",Strep,NULL,NULL,"2010-01-01 00:00:00",NULL,"2014-09-22 10:05:31",unknown,"2016-05-20 10:39:41",elissat,UPDATE
331,mono,"Infectious mononucleosis","Infectious mono",Mono,NULL,NULL,"2010-01-01 00:00:00",NULL,"2014-09-22 10:05:31",unknown,"2016-05-20 10:39:41",elissat,UPDATE
332,meningitis,Meningitis,Meningitis,Meningitis,NULL,29,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
333,meningitis_pneumo,"Pneumococcal meningitis","Pneumo meningitis","Mng Pne",NULL,30,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
334,meningitis_hib,"H influenzae type B meningitis","HIB meningitis","Mng HiB",NULL,31,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
335,meningitis_meningo,"Meningococcal meningitis","Meningo meningitis","Mng Men",NULL,32,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
336,meningitis_other,"Other meningitis","Other meningitis","Oth Mng",NULL,33,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
337,encephalitis,Encephalitis,Encephalitis,Encepha,NULL,34,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
338,diptheria,Diphtheria,Diphtheria,Diphtheria,NULL,35,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
339,whooping,Pertussis,Pertussis,Pertussis,"Cause names revised per ticket INF-5381",36,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2020-02-27 13:16:20",joshuacu,UPDATE
340,tetanus,Tetanus,Tetanus,Tetanus,NULL,37,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
341,measles,Measles,Measles,Measles,NULL,38,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
342,varicella,"Varicella and herpes zoster",Varicella,Varicella,NULL,39,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
343,mumps,Mumps,Mumps,Mumps,NULL,NULL,"2010-01-01 00:00:00",NULL,"2014-09-22 10:05:31",unknown,"2016-05-20 10:39:41",elissat,UPDATE
344,_ntd,"Neglected tropical diseases and malaria","NTDs & malaria",NTD+Malaria,NULL,40,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
345,malaria,Malaria,Malaria,Malaria,NULL,41,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
346,ntd_chagas,"Chagas disease","Chagas disease",Chagas,NULL,42,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
347,ntd_leish,Leishmaniasis,Leishmaniasis,Leish,NULL,43,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
348,ntd_leish_visc,"Visceral leishmaniasis","Visceral leishmaniasis","Vis Leish",NULL,NULL,"2013-01-01 00:00:00",NULL,"2013-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
349,ntd_leish_cut,"Cutaneous and mucocutaneous leishmaniasis","Cutaneous leishmaniasis","Cut Leish",NULL,NULL,"2013-01-01 00:00:00",NULL,"2013-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
350,ntd_afrtryp,"African trypanosomiasis","African trypanosomiasis","Afr Tryp",NULL,44,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
351,ntd_schisto,Schistosomiasis,Schistosomiasis,Schisto,NULL,45,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
352,ntd_cysticer,Cysticercosis,Cysticercosis,Cysticer,NULL,46,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
353,ntd_echino,"Cystic echinococcosis","Cystic echinococcosis",Echino,NULL,47,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
354,ntd_lf,"Lymphatic filariasis","Lymphatic filariasis",LF,NULL,48,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
355,ntd_oncho,Onchocerciasis,Onchocerciasis,Oncho,NULL,49,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
356,ntd_trachoma,Trachoma,Trachoma,Trachoma,NULL,50,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
357,ntd_dengue,Dengue,Dengue,Dengue,NULL,51,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
358,ntd_yellowfever,"Yellow fever","Yellow fever","Yellow Fev",NULL,52,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
359,ntd_rabies,Rabies,Rabies,Rabies,NULL,53,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
360,ntd_nema,"Intestinal nematode infections","Intestinal nematode",Nematode,NULL,54,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
361,ntd_nema_ascar,Ascariasis,Ascariasis,Ascaria,NULL,55,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
362,ntd_nema_trichur,Trichuriasis,Trichuriasis,Trichuria,NULL,56,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
363,ntd_nema_hook,"Hookworm disease","Hookworm disease",Hookworm,NULL,57,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
364,ntd_foodborne,"Food-borne trematodiases","Food-borne trematodiases","FB Trema",NULL,58,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
365,ntd_other,"Other neglected tropical diseases","Other NTDs","Oth NTD",NULL,59,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
366,maternal,"Maternal disorders","Maternal disorders",Maternal,NULL,60,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
367,maternal_hem,"Maternal hemorrhage","Maternal hemorrhage","Mat Hem",NULL,61,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
368,maternal_sepsis,"Maternal sepsis and other maternal infections","Maternal sepsis","Mat Sepsis",NULL,62,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
369,maternal_htn,"Maternal hypertensive disorders","Maternal hypertension","Mat HTN",NULL,63,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
370,maternal_obstruct,"Maternal obstructed labor and uterine rupture","Obstructed labor","Obst Labor",NULL,64,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
371,maternal_abort,"Maternal abortion, miscarriage, and ectopic pregnancy","Complication abort","Comp Abort",NULL,65,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
372,maternal_abort_spont,"Spontaneous abortion","Spontaneous abortion","Spont Abort",NULL,NULL,"2010-01-01 00:00:00",NULL,"2014-09-22 10:05:31",unknown,"2016-05-20 10:39:41",elissat,UPDATE
373,maternal_abort_induc,"Induced abortion","Induced abortion","Induc Abort",NULL,NULL,"2010-01-01 00:00:00",NULL,"2014-09-22 10:05:31",unknown,"2016-05-20 10:39:41",elissat,UPDATE
374,maternal_abort_ectopic,"Ectopic pregnancy","Ectopic pregnancy","Ectopic Preg",NULL,NULL,"2010-01-01 00:00:00",NULL,"2014-09-22 10:05:31",unknown,"2016-05-20 10:39:41",elissat,UPDATE
375,maternal_indirect,"Indirect maternal deaths","Maternal indirect","Mat Indir",NULL,NULL,"2013-01-01 00:00:00",NULL,"2013-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
376,maternal_late,"Late maternal deaths","Maternal late","Mat Late",NULL,NULL,"2013-01-01 00:00:00",NULL,"2013-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
377,maternal_delivery,"Maternal delivery","Maternal delivery","Mat Delivery",NULL,NULL,"2010-01-01 00:00:00",NULL,"2014-09-22 10:05:31",unknown,"2016-05-20 10:39:41",elissat,UPDATE
378,maternal_pregnancy,"Pregnancy and postpartum care","Pregnancy PP care","Preg PPC",NULL,NULL,"2010-01-01 00:00:00",NULL,"2014-09-22 10:05:31",unknown,"2016-05-20 10:39:41",elissat,UPDATE
379,maternal_other,"Other direct maternal disorders","Other maternal disorders","Oth Mat",NULL,66,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2020-01-08 11:48:28",ferdid06,UPDATE
380,neonatal,"Neonatal disorders","Neonatal disorders",Neonatal,NULL,67,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
381,neonatal_preterm,"Neonatal preterm birth","Neonatal preterm birth","NN Preterm",NULL,68,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2017-12-27 04:17:42",elissat,UPDATE
382,neonatal_enceph,"Neonatal encephalopathy due to birth asphyxia and trauma","Neonatal encephalopathy","NN Enceph",NULL,69,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
383,neonatal_sepsis,"Neonatal sepsis and other neonatal infections","Neonatal sepsis","NN Sepsis",NULL,70,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
384,neonatal_hemolytic,"Hemolytic disease and other neonatal jaundice","Neonatal hemolytic","NN Hemol",NULL,NULL,"2013-01-01 00:00:00",NULL,"2013-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
385,neonatal_other,"Other neonatal disorders","Other neonatal","Oth NN",NULL,71,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
386,nutrition,"Nutritional deficiencies","Nutritional deficiencies","Nutr Def",NULL,72,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
387,nutrition_pem,"Protein-energy malnutrition","Protein-energy malnutrition",PEM,NULL,73,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
388,nutrition_iodine,"Iodine deficiency","Iodine deficiency",Iodine,NULL,74,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
389,nutrition_vitamina,"Vitamin A deficiency","Vitamin A deficiency","Vit A",NULL,75,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
390,nutrition_iron,"Dietary iron deficiency","Dietary iron deficiency",Iron,NULL,76,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2018-03-02 15:38:46",ferdid06,UPDATE
391,nutrition_other,"Other nutritional deficiencies","Other nutritional","Oth Nutr",NULL,77,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2017-06-28 15:22:55",elissat,UPDATE
392,_othercomm,"Other communicable, maternal, neonatal, and nutritional diseases","Other group I","Oth Group I",NULL,78,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
393,std,"Sexually transmitted infections excluding HIV",STIs,STI,NULL,79,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2018-05-08 11:23:08",ferdid06,UPDATE
394,std_syphilis,Syphilis,Syphilis,Syphilis,NULL,80,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2017-11-02 12:11:51",elissat,UPDATE
395,std_chlamydia,"Chlamydial infection",Chlamydia,Chlamydia,NULL,81,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
396,std_gonnorhea,"Gonococcal infection",Gonorrhea,Gonorrhea,NULL,82,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2017-06-28 15:15:23",elissat,UPDATE
397,std_tricho,Trichomoniasis,Trichomoniasis,Trich,NULL,83,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
398,std_herpes,"Genital herpes","Genital herpes",Herpes,NULL,NULL,"2013-01-01 00:00:00",NULL,"2013-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
399,std_other,"Other sexually transmitted infections","Other STIs","Oth STI",NULL,84,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2018-05-08 11:23:08",ferdid06,UPDATE
400,hepatitis,"Acute hepatitis","Acute hepatitis",Hep,NULL,85,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2017-12-15 11:03:53",elissat,UPDATE
401,hepatitis_a,"Acute hepatitis A","Acute hepatitis A","Hep A",NULL,86,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2017-12-15 11:31:47",elissat,UPDATE
402,hepatitis_b,"Acute hepatitis B","Acute hepatitis B","Hep B",NULL,87,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2017-12-15 11:03:53",elissat,UPDATE
403,hepatitis_c,"Acute hepatitis C","Acute hepatitis C","Hep C",NULL,88,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2017-12-15 11:03:53",elissat,UPDATE
404,hepatitis_e,"Acute hepatitis E","Acute hepatitis E","Hep E",NULL,89,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2017-12-15 11:31:47",elissat,UPDATE
405,leprosy,Leprosy,Leprosy,Leprosy,NULL,90,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
406,zoonotic,"Zoonotic bacterial diseases","Zoonotic bacterial","Zoonotic Bac",NULL,NULL,"2010-01-01 00:00:00",NULL,"2014-09-22 10:05:31",unknown,"2016-05-20 10:39:41",elissat,UPDATE
407,herpes,"Non-genital herpes infection","Non-genital herpes","NG Herpes",NULL,NULL,"2010-01-01 00:00:00",NULL,"2014-09-22 10:05:31",unknown,"2016-05-20 10:39:41",elissat,UPDATE
408,infectious,"Other unspecified infectious diseases","Other unspecified infectious","Oth Un Inf",NULL,91,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2017-10-04 17:20:14",elissat,UPDATE
409,_ncd,"Non-communicable diseases",Non-communicable,NCD,NULL,92,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
410,_neo,Neoplasms,Neoplasms,Neoplasms,NULL,93,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
411,neo_esophageal,"Esophageal cancer","Esophageal cancer","Esophag C",NULL,94,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
412,neo_esophageal_cancer,"Malignant esophageal cancer","Esophageal malignant","Esophag Mal",NULL,NULL,"2010-01-01 00:00:00",NULL,"2014-09-22 10:05:31",unknown,"2016-10-19 07:56:47",elissat,UPDATE
413,neo_esophageal_benign,"Esophageal non-malignant neoplasm","Esophageal benign","Esophag NMN",NULL,NULL,"2010-01-01 00:00:00",NULL,"2014-09-22 10:05:31",unknown,"2016-05-20 10:39:41",elissat,UPDATE
414,neo_stomach,"Stomach cancer","Stomach cancer","Stomach C",NULL,95,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
415,neo_stomach_cancer,"Malignant stomach cancer","Stomach malignant","Stomach Mal",NULL,NULL,"2010-01-01 00:00:00",NULL,"2014-09-22 10:05:31",unknown,"2016-10-19 07:40:34",elissat,UPDATE
416,neo_stomach_benign,"Stomach non-malignant neoplasm","Stomach benign","Stomach NMN",NULL,NULL,"2010-01-01 00:00:00",NULL,"2014-09-22 10:05:31",unknown,"2016-05-20 10:39:41",elissat,UPDATE
417,neo_liver,"Liver cancer","Liver cancer","Liver C",NULL,96,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
418,neo_liver_hepb,"Liver cancer due to hepatitis B","Liver cancer hepatitis B","Liver C HepB",NULL,97,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
419,neo_liver_hepc,"Liver cancer due to hepatitis C","Liver cancer hepatitis C","Liver C HepC",NULL,98,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
420,neo_liver_alcohol,"Liver cancer due to alcohol use","Liver cancer alcohol","Liver C Alc",NULL,99,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
421,neo_liver_other,"Liver cancer due to other causes","Liver cancer other","Oth Liver C","Updated cause_name for internal reporting (INF-5188).",100,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2021-04-19 13:06:32",joshuacu,UPDATE
422,neo_liver_benign,"Liver non-malignant neoplasm","Liver benign","Liver NMN",NULL,NULL,"2010-01-01 00:00:00",NULL,"2014-09-22 10:05:31",unknown,"2016-05-20 10:39:41",elissat,UPDATE
423,neo_larynx,"Larynx cancer","Larynx cancer","Larynx C",NULL,101,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
